fid,x,y,xa,ya
1,-367.5,207.2,-352.0399954397783,210.39289960293695
2,-347.5,107.2,-330.3288110144838,118.90786607879166
2,-347.5,207.2,-333.3292010161001,209.7750828597528
3,-327.5,107.2,-311.7011027489511,118.44108993266295
3,-327.5,207.2,-314.7015759213039,209.82622904442684
4,-307.5,107.2,-293.3946739012895,118.33475179238978
4,-307.5,207.2,-296.06204314163193,209.08941510471342
5,-287.5,107.2,-275.30816421921355,118.15083877350432
5,-287.5,207.2,-277.6895169177963,208.8559927470857
6,-267.5,107.2,-257.50559052800133,118.08950707594957
6,-267.5,207.2,-259.29575456631153,208.72219994748914
7,-247.5,107.2,-239.659018478422,117.86032445275225
7,-247.5,207.2,-240.84016777248678,208.29473394394805
8,-227.5,107.2,-221.4380708847641,116.77388625908607
8,-227.5,207.2,-222.594323362573,208.09601724600154
9,-207.5,107.2,-203.26929368648106,116.6395814065562
9,-207.5,207.2,-204.14619355954272,207.72363951580945
11,-367.5,227.2,-352.50790411668726,228.677883513018
12,-347.5,227.2,-334.1099769580638,228.5291050906352
13,-327.5,127.2,-312.31614770212525,136.61233303887568
13,-327.5,227.2,-315.5951188394408,228.15479964264927
14,-307.5,127.2,-293.9960328063117,136.13691244549278
14,-307.5,227.2,-296.74930274648835,227.56585963494993
15,-287.5,127.2,-275.9252514686148,136.23116410837736
15,-287.5,227.2,-278.2104674358465,227.63022076317515
16,-267.5,127.2,-257.66565455435534,135.42344524850478
16,-267.5,227.2,-259.7796613896691,227.08633941942597
17,-247.5,127.2,-239.7366265779278,135.49677760617905
17,-247.5,227.2,-241.44783634510853,227.02149757324543
18,-227.5,127.2,-221.42025796723453,134.91570364519302
18,-227.5,227.2,-222.87565823623976,226.5260993165039
19,-207.5,127.2,-202.96752637061604,134.58152167435367
19,-207.5,227.2,-204.54424421191834,226.2670751183603
21,-367.5,247.2,-352.9795312933429,247.06537080909237
22,-347.5,147.2,-330.8987606272367,154.74316851308765
22,-347.5,247.2,-334.3338856809139,246.7279439835883
23,-327.5,147.2,-312.849576601543,154.9329242388942
23,-327.5,247.2,-316.09360079125287,246.96308656468128
24,-307.5,147.2,-294.40675611951787,154.37932752345324
24,-307.5,247.2,-297.4689701342297,246.46821141518768
25,-287.5,147.2,-276.4026588982872,154.144522527935
25,-287.5,247.2,-278.6588558733444,245.73640911857223
26,-267.5,147.2,-258.11118518957227,153.7083677586079
26,-267.5,247.2,-260.3813024511219,245.98824067188966
27,-247.5,147.2,-239.88772146115454,153.38711289389823
